project,commit,hash,message,antipattern,keyword
"arduino-esp32
"," #24
",[cec3fca4ad4a39feb463f9298ab3238819732d50](https://github.com/espressif/arduino-esp32/commit/cec3fca4ad4a39feb463f9298ab3238819732d50),"Fix BluetoothSerial crash when restart (#3471)

* Update esp32-hal-bt.c



BluetoothSerial crash when restart:  this is because the BT controller remains in state  ESP_BT_CONTROLLER_STATUS_INITED instead of state  ESP_BT_CONTROLLER_STATUS_IDLE after the end() method.

in file esp_bt.h it is specified



> @brief Enable BT controller.

>                Due to a known issue, you cannot call esp_bt_controller_enable() a second time

>                 to change the controller mode dynamically. To change controller mode, call

>                esp_bt_controller_disable() and then call esp_bt_controller_enable() with the new mode.



after **esp_bt_controller_disable()** the controller remains in state INITED so we do call the **esp_bt_controller_deinit()** function to put the controller into state IDLE.



i have modified the **esp32-hal-bt.c** file

line 57 and next

(i have insert the esp_bt_controller_deinit() function so the controller go into Idle state)

```c++

bool btStop(){

    if(esp_bt_controller_get_status() == ESP_BT_CONTROLLER_STATUS_IDLE){

		log_i(""bt stopped"");

        return true;

    }

    if(esp_bt_controller_get_status() == ESP_BT_CONTROLLER_STATUS_ENABLED){

		log_i(""bt enabled"");

        if (esp_bt_controller_disable()) {

            log_e(""BT Disable failed"");

            return false;

        }

        while(esp_bt_controller_get_status() == ESP_BT_CONTROLLER_STATUS_ENABLED);

    }

    if(esp_bt_controller_get_status() == ESP_BT_CONTROLLER_STATUS_INITED){

		log_i(""inited"");

		if (esp_bt_controller_deinit()) {

			log_e(""BT deint failed"");

			return false;

		}

		while (esp_bt_controller_get_status() == ESP_BT_CONTROLLER_STATUS_INITED);

        return true;

    }

    log_e(""BT Stop failed"");

    return false;

}

```



* Update esp32-hal-bt.c



remove while to avoid infinite loop",Smith:Where_Was_I,infinite

"arduino-esp32
"," #25
",[9ad860758cedfa5d2fa7d7c7ba0870e91f7d5fec](https://github.com/espressif/arduino-esp32/commit/9ad860758cedfa5d2fa7d7c7ba0870e91f7d5fec),"Fix Memory leak in addApbChangeCallback()  (#3560)

* `ledcWriteTone()` added a `apbcallback()` evertime the tone value was non zero.

* `addApbChangeCallback()` did not detect duplicate callbacks.

* changed the apbcallback list to a double link to support roll forward, roll back execution.  This made the sequences of clock change callback start with the newest registered -> to oldest on the `before` then oldest -> newest after the clock change.  This made the UART debug log output have minimal gibberish during the clock change.

* change how the UART callback handled the MUTEX because if any `apbchangeCallback()` executed a `log_x()` a deadlock would occur.



This fixes #3555",General:C:not_deallocating,memory

"arduino-esp32
"," #26
",[89351e3ade9a62edd891e363de08c124395dc0ad](https://github.com/espressif/arduino-esp32/commit/89351e3ade9a62edd891e363de08c124395dc0ad),"Update WiFiClient.cpp (#3608)

fixed the connected() function so that it only checks errno if recv returns a value of -1.



""in the even of an error, errno is set to indicate the error"" --manpage



This fixes the ESP32 Webserver when dealing with a modern webserver with a slow SD card.",X,slow

"arduino-esp32
"," #27
",[32d5654aa66f52054d500501decf3f0d281021f6](https://github.com/espressif/arduino-esp32/commit/32d5654aa66f52054d500501decf3f0d281021f6),"Implement rmtLoop to be able to continuously send pulses (#3650)

Number of pulses is limited to the reserved RMT memory for the channel. Very useful for PWM, Servo and other repeatable signals.",X,memory

"arduino-esp32
"," #28
",[80f9f9aeec393ec29b343cee111528f2c026f8c4](https://github.com/espressif/arduino-esp32/commit/80f9f9aeec393ec29b343cee111528f2c026f8c4),"fix removeApbChangeCallback() error in spiStopBus() (#3675)

* fix removeApbChangeCallback() error in spiStopBus()



spiStartBus() was using spiStopBus() to init the hardware, one of spiStopBus() functions is to unregister the runtime CPU clock speed change callback. But, spiStartBus() only wanted to init the hardware.  This patch separates the hardware init into a standalone function spiInitBus() that both spiStartBus() and spiStopBus() call.



* Update esp32-hal-spi.c



capitalization problem",X,runtime

"arduino-esp32
"," #29
",[b2c678877c04428f06ec5f1f59cc4d204bcd05ec](https://github.com/espressif/arduino-esp32/commit/b2c678877c04428f06ec5f1f59cc4d204bcd05ec),"std::shared_ptr Memory Leak (#3680)

* std::shared_ptr Memory Leak



clientSocketHande and _rxBuffer are std::shared_ptr, the stop() call was not correctly releasing them and the operator= had similar problems fix for #3679



* operator= second attempt



* operator= third time",General:C:not_deallocating,memory

"arduino-esp32
"," #30
",[109ba7a3b44cf0d89068aa0ec812271d3bc4acbc](https://github.com/espressif/arduino-esp32/commit/109ba7a3b44cf0d89068aa0ec812271d3bc4acbc),"Revert ""std::shared_ptr Memory Leak (#3680)"" (#3682)

This reverts commit b2c678877c04428f06ec5f1f59cc4d204bcd05ec.",X,memory

"arduino-esp32
"," #31
",[ab23e8a65678d62323e023f4b9069378a3053bd2](https://github.com/espressif/arduino-esp32/commit/ab23e8a65678d62323e023f4b9069378a3053bd2),"Greatly reduces error rate (half, or 0 zero errors, depends on in/out ranges) for round-trip mapping at the same performance. (#3655)

(Based on ""improved_map"" from ESP8266's Servo.cpp)",New:rounded_numbers,performance

"arduino-esp32
"," #32
",[e4b2ce4e8149f4afe823e870378b25ca2049a54b](https://github.com/espressif/arduino-esp32/commit/e4b2ce4e8149f4afe823e870378b25ca2049a54b),"DNS resolving timeout change to prevent stack overlapping (#3731)

Real DNS resolving timeout used by lwip library is 14[s] (7[s] for DNS1 + 7[s] for DNS2). Function WiFiGenericClass::hostByName() has timeout set to lower value (only 4[s]), so callback function may be called after this low timeout and it may overlappe stack memory used now by other function.

Fixes #3722","New:Hard-coded-fine-tuning
New:Hard-coded-timing",memory

"arduino-esp32
"," #33
",[c917ed25049714a6761a8cb5e16a1fb869e88507](https://github.com/espressif/arduino-esp32/commit/c917ed25049714a6761a8cb5e16a1fb869e88507),"shallow clone to make installation faster (#4246)

shallow clone (board and submodules) to make installation faster",X,faster

"arduino-esp32
"," #34
",[dccb4e8608a580cd9d27a29da85fa36c316482e2](https://github.com/espressif/arduino-esp32/commit/dccb4e8608a580cd9d27a29da85fa36c316482e2),"improve & fix BLEScan when wantDuplicates (#3995)

* improve & fix BLEScan when too many BLE devices

- when wantDuplicates, no need to check duplicate and no more insert into vector

- delete advertisedDevice when not insert into vector, fix memory leak

- add showParse when you just want raw advertised data",General:C:not_deallocating,memory

"arduino-esp32
"," #35
",[e4b008e712101f0e0cb3301b4bc80e23fa31dae2](https://github.com/espressif/arduino-esp32/commit/e4b008e712101f0e0cb3301b4bc80e23fa31dae2),"Handle stream timeouts properly, for slow HTTP/HTTPS links (#3752)

This patch fixes update timeouts (error #6) on slow HTTP/HTTPS links.",X,slow

"arduino-esp32
"," #36
",[c6a8da61f78452573df857cb95edb3a5ecd0365f](https://github.com/espressif/arduino-esp32/commit/c6a8da61f78452573df857cb95edb3a5ecd0365f),"Allow faster reuse of socket, to be able to restart WifiServer. (#4306)

See #3960 for more details of the problem and the solution. I only implemented what was proposed in this ticket, as it solves my problem, which was the same as in this ticket. Credits for the code going to @etrinh ;-)



This also is a more consistence behaviour compared to esp8266, where it also is possible to restart the wifiserver immediately on the same port.",X,faster

"arduino-esp32
"," #37
",[7e8993fc838db37f4d47c7836c002f60ff73d39a](https://github.com/espressif/arduino-esp32/commit/7e8993fc838db37f4d47c7836c002f60ff73d39a),"Speed up upload by a factor of 17 (#4787)

* Speed up upload by a factor of 17



Uploads are very slow because of an unnecessary ""client.connected()"" check in _uploadReadByte().



Here is what happens:

client.connected() is called for every byte read.  WiFiClient::connected() calls recv(fd(), &dummy, 0, MSG_DONTWAIT); which takes a relatively long time, so the optimized path of returning a buffered byte via client.read() is effectively nullified.



Removing the one line changed the upload speed for a 2 MB file (discarding the received data) from 22 KB/sec (before) to 367 KB/sec (after).



The change is safe in the face of disconnects because client.read(), when it no longer has buffered data, calls (WiFiClient)  fillBuffer(), which calls recv(), so the disconnection will be detected in due course.



* Move disconnect check into the timeout loop",Smith:General:Unnecessary_Processing,slow

"arduino-esp32
"," #38
",[e831680a41d4c96769cae7277501ce41abe69eee](https://github.com/espressif/arduino-esp32/commit/e831680a41d4c96769cae7277501ce41abe69eee),"Fixed a memory leak in BLE (issue #4753) (#4761)

* Fixed crash on delete after disconnect



* Fixed memory leak when getting characteristics



* Removed guard



Co-authored-by: ushiboy <ushiboy.dev@gmail.com>",General:C:not_deallocating,memory

"arduino-esp32
"," #39
",[8134a42162f11cb01155038a2465848d6b2b84bc](https://github.com/espressif/arduino-esp32/commit/8134a42162f11cb01155038a2465848d6b2b84bc),Fix leak of memory and possible crashes in AsyncUDP,X,memory

"arduino-esp32
"," #40
",[560c0f45f58b907f0d699f65408b87fe54650854](https://github.com/espressif/arduino-esp32/commit/560c0f45f58b907f0d699f65408b87fe54650854),"Fix dropped SSL connection when buffer gets full. (#4820)

mbedTLS requires repeated calls to mbedtls_ssl_write() whenever it returns MBEDTLS_ERR_SSL_WANT_READ or MBEDTLS_ERR_SSL_WANT_WRITE. this happens when the client sends data faster then the server or the connection can handle.",General:C:not_deallocating,faster

"arduino-esp32
"," #41
",[dd834b3372d97193f3e82e923eb2f59d9c6da12d](https://github.com/espressif/arduino-esp32/commit/dd834b3372d97193f3e82e923eb2f59d9c6da12d),"Ensure that String::setLen() is always after any memory operation

Since `String::setLen()` is now modifying the buffer, this change is required to ensure that the proper buffer is changed.",X,memory

"arduino-esp32
"," #42
",[9a0762ad2a3773ccf919631203aa24cd311109a0](https://github.com/espressif/arduino-esp32/commit/9a0762ad2a3773ccf919631203aa24cd311109a0),"[BLE Client] Fix Deadlock when calling writeValue after registerForNotify

Fixes: https://github.com/espressif/arduino-esp32/issues/4952",General:Deadlock,deadlock

"arduino-esp32
"," #43
",[81b7c47203b7558cc634ab2b22f966aa4bbc9ce1](https://github.com/espressif/arduino-esp32/commit/81b7c47203b7558cc634ab2b22f966aa4bbc9ce1),"Serial::end hang (#5047)

workaround for #5043. There is a timing issue with HardwareSerial::end. I'm not sure what is hung, but it should be possible to see this in jtag, as it does cause a reboot if you let it. The delay needs to be before you detach the device!?",New:Hard-coded-timing,hang

"cylon
"," #1
",[6e3d7c66677f84b384d03c1803ac74fe74c4865d](https://github.com/hybridgroup/cylon/commit/6e3d7c66677f84b384d03c1803ac74fe74c4865d),"Add helpers to replace some lodash functionality


## PR
https://github.com/hybridgroup/cylon/pull/271",X,slower

"dronekit-android
"," #1
",[b1d67d71e7b1d637b314d00d8602cdc8cd674fd9](https://github.com/dronekit/dronekit-android/commit/b1d67d71e7b1d637b314d00d8602cdc8cd674fd9),Shrink joystick handle a little to increase move resolution,X,increase

"dronekit-android
"," #2
",[faf8f09a5a9eeaeca02ce59f9ecb842e7c2f0794](https://github.com/dronekit/dronekit-android/commit/faf8f09a5a9eeaeca02ce59f9ecb842e7c2f0794),Removing the need to clear the map in PlanningActivity.,Smith:General:Unnecessary_Processing,performance

"dronekit-android
"," #3
",[e41fec48360cc4720eb08f827c9a25740dc603b5](https://github.com/dronekit/dronekit-android/commit/e41fec48360cc4720eb08f827c9a25740dc603b5),"Changing the way to start a path, now you do it with a fast click.",X,fast

"dronekit-android
"," #4
",[f1ef0aea6f46b65661a4d824560cd567c6be5d2d](https://github.com/dronekit/dronekit-android/commit/f1ef0aea6f46b65661a4d824560cd567c6be5d2d),Fix the problem where you always added two waypoints when doing a fast click.,X,fast

"dronekit-android
"," #5
",[1f605c0e51de179f564b8478f68027f10be102ea](https://github.com/dronekit/dronekit-android/commit/1f605c0e51de179f564b8478f68027f10be102ea),Changing layout to increase the map size,X,increase

"dronekit-android
"," #6
",[eea6fbc8c065daef7394158504f7608f7f2440aa](https://github.com/dronekit/dronekit-android/commit/eea6fbc8c065daef7394158504f7608f7f2440aa),"Increase mission row height, so they are easier to handle",X,Increase

"dronekit-android
"," #7
",[ecf355c7f58be415934fdf05da87762c66991857](https://github.com/dronekit/dronekit-android/commit/ecf355c7f58be415934fdf05da87762c66991857),Zoom: Increase padding around bounded coords to prevent markers being positioned off-screen,X,Increase

"dronekit-android
"," #8
",[6bb4e0460ece576a7ac8a652a3e5bab33de91557](https://github.com/dronekit/dronekit-android/commit/6bb4e0460ece576a7ac8a652a3e5bab33de91557),better text layout in the telemetry. Getting the hang of it.,X,hang

"dronekit-android
"," #9
",[8f8084d3ca4f7bc6a9d584a483a60e14c8163bbb](https://github.com/dronekit/dronekit-android/commit/8f8084d3ca4f7bc6a9d584a483a60e14c8163bbb),better text layout in the telemetry. Getting the hang of it.,X,hang

"dronekit-android
"," #10
",[2c9d9bc08147b0952eba4b6ef28701641a99bb21](https://github.com/dronekit/dronekit-android/commit/2c9d9bc08147b0952eba4b6ef28701641a99bb21),TUNING: Adding code to setup the streaming rate when in the Tuning screen,New:Fixed_Communication_Rate,increases

"dronekit-android
"," #11
",[d022d2b75934df71798424e11b6db13f25ed93ee](https://github.com/dronekit/dronekit-android/commit/d022d2b75934df71798424e11b6db13f25ed93ee),Parameters: sip - ListView / Adapter model for much faster and more resource efficient parameter list,X,faster

"dronekit-android
"," #12
",[f4698eb55964af88f8aa4e31de6646c97349527f](https://github.com/dronekit/dronekit-android/commit/f4698eb55964af88f8aa4e31de6646c97349527f),UI update - increase the size of the drawer in flight screen,X,increase

"dronekit-android
"," #13
",[26cc1ab9febfb0ffa1f69c5af1d2b644c6c977ec](https://github.com/dronekit/dronekit-android/commit/26cc1ab9febfb0ffa1f69c5af1d2b644c6c977ec),Feature: Fast Increment,X,increase

"dronekit-android
"," #14
",[ce5fad7c8d6adef7065fede1f2bc6f2c2532f267](https://github.com/dronekit/dronekit-android/commit/ce5fad7c8d6adef7065fede1f2bc6f2c2532f267),Fast ince: Layout test,X,Fast

"dronekit-android
"," #15
",[ffc8e75d7c692c5977516339bb2575c4a1266d5d](https://github.com/dronekit/dronekit-android/commit/ffc8e75d7c692c5977516339bb2575c4a1266d5d),"Removed UiLanguage as functionality can be achieved by a static method using an application context object. This avoids memory allocation for the creation of the UiLanguage object, and prevent possible leakage of Activity object, as only an application context is needed to make the config update.",General:recreate_objects,memory

"dronekit-android
"," #16
",[05fdbfeff89736a3f16ad52d04383ebc03d23bfe](https://github.com/dronekit/dronekit-android/commit/05fdbfeff89736a3f16ad52d04383ebc03d23bfe),increase features of the map interface.,X,increase

"dronekit-android
"," #17
",[f82ad37e86517611fd5bf5185dc6328158983791](https://github.com/dronekit/dronekit-android/commit/f82ad37e86517611fd5bf5185dc6328158983791),Huge performance gain by using Buffered streams,General:Performance:Unbuffered_Streams,performance

"dronekit-android
"," #18
",[9c057a7b3fabe4777538b9cd965513f1310a2eff](https://github.com/dronekit/dronekit-android/commit/9c057a7b3fabe4777538b9cd965513f1310a2eff),Using ByteBuffers to read the data improves even more the performance.,X,performance

